text,count
Exercice 2022 ,81
Allianz Vie  Rapport sur la Solvabilité et la Situation Financière ,79
 ,41
"100,00 % ",28
2021 ,26
2022 ,26
Annexes ,19
Système de gouvernance ,17
En milliers d'euros ,15
Valorisation à des fins de solvabilité ,15
"0,00 % ",14
Profil de risque ,13
Variation ,13
3 662 503 ,13
Gestion du capital ,13
Marge de risque ,12
4 030 626 ,10
Net ,10
911 109 ,10
2 808 449 ,9
368 123 ,9
Total ,9
Activité et résultats ,9
R110 ,8
En milliers d'Euros ,8
Part des réassureurs ,8
"1 cours Michelet , 92800 Puteaux ",7
R200 ,7
R120 ,6
2 098 235 ,6
R130 ,6
Acronyme ,6
Meilleure estimation ,6
R310 ,6
Signification ,6
"99,99 % ",5
100 % ,5
R330 ,5
C050 ,5
"1,72 % ",5
C040 ,5
R400 ,5
R140 ,5
Fonction principale ,5
Produits dérivés ,5
R220 ,5
15 503 144 ,5
ppts . ,5
"98,28 % ",5
R230 ,5
R340 ,5
C020 ,5
189 452 ,5
5 016 870 ,5
C030 ,5
R300 ,5
Nom ,5
C0010 ,5
"95,55 % ",4
R500 ,4
R410 ,4
17 030 994 ,4
"99,80 % ",4
Niveau 2 ,4
130 % ,4
SCR ,4
R420 ,4
176 288 ,4
a ) ,4
Brut  assurance directe ,4
Niveau 3 ,4
R320 ,4
109 770 ,4
263 576 ,4
Synthèse ,4
b ) ,4
919 598 ,4
35 283 ,4
R090 ,4
C070 ,4
5 094 013 ,4
R080 ,4
2 284 439 ,4
C060 ,4
R100 ,4
Execution Delivery and Process Management ,4
"25,95 % ",4
Provisions techniques calculées comme un tout ,4
Minimum de capital requis ,4
"77,93 % ",4
Cessation ,4
"28,63 % ",4
"34,10 % ",4
"39,47 % ",4
"43,54 % ",4
3 352 760 ,4
R020 ,4
2 % ,4
144 % ,4
"15,32 % ",4
1 394 092 ,3
Allianz Vie - Rapport sur la Solvabilité et la Situation Financière ,3
-376 191 ,3
c ) ,3
16 885 658 ,3
R430 ,3
Charge des sinistres ,3
Primes acquises ,3
R440 ,3
39 413 279 ,3
Brut  Rassurance non proportionnelle acceptée ,3
C090 ,3
Actifs ,3
2 ,3
C080 ,3
Primes émises ,3
3 184 640 ,3
Passifs ,3
-482 983 ,3
R350 ,3
42 ,3
"12,9 ",3
Brut ,3
PPE ,3
77 143 ,3
3 273 550 ,3
36 ,3
34 ,3
3 841 174 ,3
17 ,3
C100 ,3
Actions ,3
13 ,3
Juste valeur ,3
Nationalité française ,3
45 ,3
Réserve de réconciliation ,3
643 054 ,3
55 582 463 ,3
1 cours Michelet - CS 30051 92076 Paris La Défense Cedex ,3
Meilleure estimation totale brute ,3
Allianz Vie ,3
3 954 723 ,3
R550 ,3
64 ,3
R160 ,3
228 293 ,3
f ) ,3
R210 ,3
R240 ,3
21 % ,2
Nouvelle entité consolidée ,2
139 510 ,2
"20,04 % ",2
24 456 ,2
6 % ,2
2 681 181 ,2
Figure 10  Structure des risques en Modèle Interne d'Allianz ,2
 1604 372 ,2
2 656 725 ,2
"18,94 % ",2
1 684 827 ,2
"94,09 % ",2
"34,11 % ",2
"14,29 % ",2
"79,29 % ",2
"20,56 % ",2
"69,99 % ",2
"50,00 % ",2
29 447 ,2
