text,count
 ,62
Groupe CAMCA ,49
SFCR  31/12/2022 ,42
0 ,42
2 709 ,14
Réel ,11
911 316 ,10
Marge de risque ,9
2021 ,9
400 ,8
2022 ,8
Total ,7
908 607 ,6
ORSA 2022 ,6
107 817 ,6
442 834 ,5
2 260 410 ,5
5 ,5
Rapport ,5
41 194 ,4
Protection du revenu ,4
39 ,4
-25 311 ,4
972 991 ,4
799 634 ,4
28 ,4
SFCR  31 / 12 / 2022 ,4
4 ,4
60 650 ,4
Meilleure estimation ,4
diverses ,3
R0420 ,3
R0400 ,3
14 ,3
13 ,3
31 ,3
32 ,3
Pertes ,3
8 ,3
40 ,3
44 384 ,3
286 525 ,3
-286 525 ,3
R020 ,3
100 % ,3
R010 ,3
31 877 ,3
Assurance de ,3
Provisions techniques ,3
3 073 152 ,3
19 464 ,3
0010 ,3
503 454 ,3
ORSA 2022 révisé ,3
-18 871 ,3
Var 2022 / 2021 ,3
Auto mobile ,3
nement ,3
44 ,3
R0560 ,3
-107 371 ,3
R0410 ,3
R160 ,3
Provisions techniques brutes ,3
Réserve de réconciliation ,3
-1 745 ,3
R050 ,3
169 223 ,3
R0060 ,3
R070 ,3
Rles et responsabilités de la fonction ,3
Trimestriel ,3
131 418 ,3
assurance ,2
Impact des ,2
-1 768 ,2
32 235 ,2
-486 302 ,2
-317 448 776 375 13 437 ,2
503 054 ,2
revenu ,2
R0790 ,2
199 275 ,2
C0090 ,2
755 340 ,2
37 071 ,2
214 673 ,2
-166 012 ,2
856 269 ,2
64 578 ,2
-358 471 ,2
147 ,2
R0770 ,2
SFCR - 31/12/2022 ,2
-2 000 ,2
33 549 ,2
38 891 ,2
Capital de solvabilité requis ,2
 Risque de spread ,2
108 573 ,2
3 734 ,2
86 368 ,2
 Risque de souscription non - vie ,2
65 % ,2
Risque opérationnel ,2
mesures ,2
54 846 ,2
Assurance ,2
-3 734 ,2
C0030 ,2
SCR ,2
-9 011 ,2
-119 542 ,2
803 368 ,2
-16 752 ,2
16 752 ,2
  ,2
R0740 ,2
47 ,2
Provisions techniques calculées comme un tout ,2
-2 828 ,2
33 % ,2
R090 ,2
R0390 ,2
R180 ,2
R210 ,2
R0380 ,2
R0370 ,2
R0360 ,2
R0040 ,2
R120 ,2
R0130 ,2
R0350 ,2
R0140 ,2
R0340 ,2
R0330 ,2
R0310 ,2
R0300 ,2
R0250 ,2
tout ,2
Passifs subordonnés ,2
1 291 ,2
Provisions pour primes non acquises ,2
R0230 R0240 ,2
R0720 ,2
R0690 ,2
R0680 ,2
Incendie et Respon dommages sabilité aux biens civile ,2
65 981 ,2
R0630 ,2
GROUPE CAMCA - 2022 ,2
ORSA 2021 ORSA 2022 ,2
R0550 ,2
Excédent d'actif sur passif ,2
Actions ,2
-13 437 ,2
952 398 ,2
3 528 892 ,2
R0540 ,2
4 000 ,2
Fonds propres éligibles S2 ,2
2 006 ,2
R0030 ,2
GROUPE CAMCA  2022 ,2
Provisions pour sinistres  Best estimate de primes et sinistres Provisions d'égalisation ,2
19 113 ,2
-2 494 749 ,2
3 064 923 ,2
-317 448 ,2
R220 ,2
-358 642 ,2
2 152 593 ,2
27 ,2
2 828 ,2
2 024 968 ,2
29 ,2
AUTRES INFORMATIONS .... ,2
3. SYSTEME DE GOUVERNANCE ,2
R0430 ,2
R0440 ,2
Placements ,2
30 ,2
.30 ,2
33 ,2
34 ,2
104 679 ,2
41 ,2
-11 057 ,2
38 576 ,2
43 ,2
108 261 ,2
Autres provisions ,2
-608 723 ,2
R0520 ,2
R150 ,2
151 730 ,2
25 311 ,2
-73 -13 364 ,2
111 094 ,2
23 ,2
Provisions pour sinistres cédées Autres provisions techniques cédées ,2
Provisions techniques nettes ,2
22 ,2
21 ,2
20 ,2
12 ,2
9 ,2
9 618 ,2
S1 ,2
102 737 ,2
6 637 ,2
R0530 ,2
3 809 ,2
ACTIVITE ET RESULTATS ,2
-4 634 ,2
25 ,2
R100 ,2
742 933 ,2
26 ,2
2 014 574 ,2
Autres ,2
Conseil d'administration ,2
-3 763 ,1
Intérêts minoritaires non admissibles ,1
Dividendes à payer ,1
Fonds propres bilan S2 ( FP disponibles ) ,1
10 865 ,1
14 628 ,1
Dettes subordonnées ,1
3513 ,1
12 792 1 836 ,1
486 681 ,1
117 754 ,1
69 685 ,1
 Les frais relatifs à la gestion des investissements . ,1
111 774 ,1
Impts différés ,1
6. GESTION DES FONDS PROPRES ,1
6.1 . Fonds propres ,1
La gestion des fonds propres est mise en uvre de manière à : ,1
respecter les exigences prudentielles de capital de solvabilité de la société face à un niveau de capital requis évalué sous les règles Solvabilité 2 ; ,1
optimiser la structure des fonds propres afin de limiter le coût de financement tout en maintenant une flexibilité financière suffisante . ,1
"Elle découle des résultats de solvabilité et notamment des résultats de l'ORSA et des règles d'appétence . Ceux - ci fournissent une vision prospective des besoins de capitaux propres de chaque entité et au niveau consolidé en fonction des objectifs exprimés en termes de taux de couverture "" cible "" , et permet donc de les anticiper . L'exercice permet également de simuler les conséquences liées aux différents moyens de gérer le capital disponible . ",1
"En cas d'évènement significatif mettant en danger les fonds propres , la politique de mise en uvre de ORSA prévoit que celle - ci soit réactualisée et qu'une information soit envoyée au contrôleur de l'entité ou du Groupe . ",1
Les fonds propres de base sont constitués du capital social versé ainsi que des reports à nouveau et autres réserves . ,1
CAMCA n'a pas de fonds propres auxiliaires . ,1
L'évolution des fonds propres S2 de CAMCA est la suivante : ,1
2 981 ,1
Fonds propres S2 ( en K € ) ,1
Fonds propres S1 ,1
106 678 2 024 968 ,1
226 520 350 571 -97 870 ,1
2 005 855 ,1
Intérêts minoritaires S1 ,1
2 000 ,1
+ Values latentes sur placements immobiliers ,1
+ Values latentes sur placements mobiliers ,1
63 773 40 906 ,1
Ajustement des provisions techniques ,1
Autres revalorisations ,1
33 624 ,1
-358 642 884 192 -107 817 ,1
-10 311 ,1
107 371 131 418 ,1
 503 054 972 591 ,1
-8 229 ,1
503 054 503 054 ,1
S2 ,1
37 805 ,1
-37 805 ,1
-107 371 131 418 ,1
Passage du Bilan 1 au Bilan 2 ,1
-801 686 ,1
776 375 ,1
2 263 237 ,1
Variation S2 / S1 ,1
486 302 ,1
-3 809 138 019 ,1
-742 933 ,1
-812 742 ,1
0 469 536 ,1
Excédent d'Actifs sur Passifs S2 ( Bilan S2 ) ,1
972 591 ,1
Ajustements de la réserve de réconciliation ,1
Les fonds propres sont constitués exclusivement d'éléments de niveau 1 . ,1
Les fonds propres disponibles et éligibles pour couvrir le capital de solvabilité requis ( SCR ) et pour couvrir le minimum de capital requis ( MCR ) sont identiques . ,1
"Les fonds propres éligibles s'élèvent à 911 M € au 31 décembre 2022 et sont constitués des fonds propres disponibles ( 973 M € ) et de prêts subordonnés ( 3 M € ) , sous déduction des éléments non admissibles ( intérêts minoritaires de 60 M € et distributions prévues de dividendes de 4 M  ) . Le groupe CAMCA couvre son besoin rglementaire en capital exclusivement par des fonds propres de niveau 1 non restreints . ",1
6.1.2.Les fonds propres éligibles ,1
Provisions pour participation aux bénéfices ( hors parabancaire ) ,1
910 916 ,1
disponibles  ,1
propres S2 ( Fonds propres ,1
Fonds ,1
2 709 61 675 ,1
-61 675 ,1
-169 223 ,1
-3734 ,1
0 -60 650 ,1
8 573 169 223 ,1
11 057 ,1
Les provisions pour participation aux bénéfices ( essentiellement la provision pour commissions variables au titre de la Caution habitat de CAMCA Assurance ) sont reclassées au bilan S2 au titre des Best Estimate de primes . ,1
-122 386 ,1
-3 735 ,1
BE bruts ,1
"La réserve de réconciliation est constituée principalement des réserves comptables S1 ( +503 M € ) , de la réévaluation des actifs financiers ( -317 M  ) , des provisions techniques nettes ( +776 M  ) , de l'annulation des actifs incorporels ( -13 M  ) , de la constitution des impôts différés ( -107 M  ) et de la constatation d'intérêts minoritaires sur ces retraitements ( -38 M € ) . ",1
Total brut ,1
"Les fonds propres disponibles au 31 décembre 2022 s'élèvent à 973 M € . ls sont constitués du fonds d'établissement ( 0,4 M € ) , de la réserve de réconciliation ( 803 M € ) et des intérêts minoritaires ( 169 M € ) . ",1
CAMCA ouvre son besoin réglementaire en capital par des réserves comptables . Tous les éléments de fonds propres sont libellés en euros . ,1
6.1.1.Les fonds propres disponibles ,1
BE cédés ,1
-60 650 ,1
"Les  autres provisions  sont constituées de provisions pour commissions variables relatives aux produits parabancaires de CAMCA Mutuelle à verser aux distributeurs des contrats en mars N + 1 . Dans le bilan S2 , elles ont été considérées comme des dettes d'assurance envers les distributeurs et ne figurent donc pas parmi les provisions techniques . ",1
Total net ,1
"Application du taux d'imposition applicable au 31 décembre 2022 ( 25,83 % en France et 24,94 % au Luxembourg ) à la base d'impôts différés , en l'absence de détermination de la date de retournement des différences de valorisation S1 - S2 ( plus - values latentes sur les actifs et différence d'évaluation 1 - S2 des engagements techniques ) . ",1
"984 583 972 990,618 ",1
-923 ,1
-3 853 ,1
-32 332 ,1
-2 667 ,1
La réserve de réconciliation synthétise les différences entre les fonds propres 1 et les fonds propres disponibles S2 . Le détail de ce passage des fonds propres évalués sous 1 et sous S2 est présenté ci dessous : ,1
( en K € ) ,1
au 31 décembre 2022 ,1
Fonds d'établissement ,1
La ventilation des provisions techniques brutes et cédées par ligne d'activité est la suivante : ,1
Incendie et Respon Auto - mobile dommages sabilité aux biens civile ,1
( Bilan S1 ) ,1
Comptes consolidés ,1
Total Fonds propres ,1
Total postes spécifiques S2 ,1
Crédit et caution- pécuniaires nement diverses ,1
rts minoritaires admissibles Intérêts minoritaires non admissibles Dettes subordonnées ,1
Autres fonds propres de base approuvs ,1
Position nette active d'impts différs ,1
Provisions techniques ( K € ) ,1
Total postes S1 uniquement ,1
Rsultat de exercice ,1
Autres réserves ,1
Total postes communs S1 - S2 ,1
La réévaluation des titres de participation en valeur S2 selon la méthode de la mise en équivalence a été considérée comme une plus - value à long terme relevant du régime mère - fille ; le taux retenu pour la détermination des impôts différés est le taux de 12 % applicable dans le cadre de ce régime . ,1
-337 ,1
 Exclusion de la base d'impôts différés des différences permanentes et des éléments déjà fiscalisés ( par exemple les plus - values latentes des OPCVM ) ; ,1
Les contrats sont analysés sur une base unitaire puis regroupés en groupes de risques homogènes pour les modélisations . ,1
Les groupes de risques définis pour l'évaluation des provisions techniques sont homogènes sur la base notamment des critères suivants : ,1
Provisions pour participation aux bénéfices ( hors parabancaire ) Autres provisions ,1
Provisions techniques ( en K  ) ,1
Les provisions techniques en norme 1 se déclinent selon la manière suivante . ,1
"La nature de la garantie , ",1
5.3.9.Ecarts de valorisation ,1
La marge de risque est évaluée en actualisant le coût ( prime de risque ) annuel généré par 'immobilisation d'un capital équivalent au SCR de référence tel que défini par la réglementation sur la durée de vie résiduelle des engagements utilisés pour le calcul de la meilleure estimation . Le coût du capital est réglementairement fixé à 6 % par an . ,1
La marge de risque correspond au coût du capital immobilisé pour une tierce partie qui reprendrait les engagements d'assurance de CAMCA . ,1
" La base temporelle de la garantie ( par exemple , gestion en base survenance / déclaration ) , ",1
5.3.8.Marge de risque ,1
"Le type d'activité ( affaires directes de l'entité , acceptations , etc. ) . ",1
Frontière des contrats ,1
37 ,1
"Le calcul de la meilleure estimation est ajusté afin de tenir compte des pertes probables pour défaut de chaque contrepartie . Cet ajustement est fondé sur une évaluation de la probabilité de défaut de chaque contrepartie et de la perte moyenne en résultant , soit la perte en cas de défaut . ",1
5.3.7.Ajustement pour défaut des contreparties ,1
-8 229  ,1
Granularité des projections ,1
"La meilleure estimation est initialement calculée brute , sans déduction des créances découlant des contrats de réassurance et des véhicules de titrisation . Le montant de ces créances est calculé séparément , conformément à l'article R. 351-12 du Code des Assurances , permettant de déduire la meilleure estimation nette de réassurance . ",1
Les écarts de valorisation des provisions techniques sous Solvabilité 2 sont les suivants : ,1
Principes de valorisation des provisions techniques brutes ( K € ) ,1
"La marge de risque correspond à un montant de provision complémentaire à la meilleure estimation , calculée de manière à ce que le montant total de provisions inscrit au bilan corresponde à celui qu'exigerait une entité agréée pour pratiquer des opérations d'assurance ou de réassurance pour honorer les engagements à la charge de l'assureur . Elle est calculée nette de réassurance . ",1
35 ,1
38 ,1
"Enfin , 'évaluation des provisions techniques sous Solvabilité 2 se distingue de celles en normes françaises par l'actualisation systématique des flux de trésorerie . Par ailleurs , il est fait l'hypothèse de la permanence dans les futures décisions de gestion ainsi que le comportement des preneurs . ",1
5.3.3.Segmentation ,1
Les écarts de valorisation sont présentés ci - dessous par ligne d'activité : ,1
"L'assignation d'un engagement d'assurance à une ligne d'activité reflète la nature des risques relatifs à cet engagement . La forme juridique de l'engagement n'est pas nécessairement déterminante pour la nature du risque . Si une police couvre des engagements d'assurance sur plusieurs lignes d'activités , 'assignation à chaque ligne d'activité n'est pas requise si une seule des lignes d'activité est matérielle . ",1
5.3.4.Comptabilisation initiale ,1
"Les autres provisions sont constituées d'un solde de commissions variables à verser aux distributeurs des contrats en mars N + 1 . Dans le bilan S2 , elles ont été considérées comme des dettes d'assurance envers les distributeurs et ne figurent donc pas parmi les provisions techniques . ",1
"Les engagements sont reconnus sur la base de l'engagement de l'assureur , soit parce que le contrat est signé , soit parce que le contrat ne pourra pas être dénoncé par l'assureur . ",1
" Annulation de la provision d'égalisation , ",1
" Elimination de la marge de prudence sur le BE sinistres et actualisation des flux de trésorerie futurs en normes prudentielles , ",1
5.3.5.Principes généraux dévaluation de la meilleure estimation ,1
"Constitution d'un BE primes et d'une marge de risque en normes prudentielles , ",1
La valorisation de la meilleure estimation cédée suit les mêmes principes de valorisation que ceux énoncés pour la meilleure estimation brute . Les flux de trésorerie futurs cédés sont calculés dans les limites des contrats d'assurance auxquels ils se rapportent . Les flux de trésorerie futurs cédés sont calculés séparément pour les provisions pour primes et les provisions pour sinistres . ,1
5.3.6.Valorisation des cessions ,1
" Pour chaque poste d'actif et de passif , détermination d'une base d'impôts différés égale à la différence entre valorisations 1 et S2 ; ",1
2 260 410 911 316 442 834 206 % ,1
Ratio de solvabilité ,1
La projection des flux de trésorerie utilisée pour calculer la meilleure estimation tient compte de 'ensemble des frais suivants : ,1
Fonds Propres ,1
" Les frais d'acquisition des contrats , ",1
Volume ( k  ) ,1
Les impacts de son utilisation sont présentés dans le tableau suivant : ,1
Le VA o Volatility Adjustment est une prime contra - cyclique qui permet d'ajuster le taux sans risque des variations des spreads corporate et govies .  permet de réduire l'impact des variations des spreads sur la volatilité du ratio de solvabilité . ,1
" Les frais d'administration des contrats , ",1
Taux d'actualisation  ( Taux swap de marché  CRA ) + VA ,1
" Les frais de gestion des sinistres , ",1
La courbe des taux sans risque utilisée pour la projection et l'actualisation des flux de trésorerie est basée sur la courbe des taux sans risque précédente augmentée d'un ajustement de volatilité ( « VA  ) tel que défini dans 'article R. 351-6 du Code des assurances : ,1
"La courbe des taux de référence est la courbe des taux swaps : elle correspond à la courbe des taux de référence ajustée d'un risque de crédit , appelé ajustement pour risque de crédit (   CRA  ) .  permet de prendre en compte le risque de crédit lié à la jambe variable du taux swap . ",1
Actualisation ,1
Les frais exceptionnels ainsi que tout autre retraitement justifiable sont déduits de l'assiette de frais utilisée . Le niveau de commissionnement retenu pour les calculs reflète l'ensemble des accords de commissionnement en vigueur à la date d'évaluation . ,1
36 ,1
Avec VA ,1
Frais ,1
L'ajustement égalisateur ainsi que les autres mesures transitoires proposées dans le cadre de Solvabilité 2 sur la courbe des taux ne sont pas utilisés par le Groupe CAMCA . ,1
Sans VA ,1
"Pour plus d'informations sur l'impact du VA sur les provisions techniques ainsi que sur les fonds propres et le besoin réglementaires en capital , se référer au QRT S.22.01.22 en annexe du présent document . ",1
Le ratio de solvabilité du Groupe CAMCA est peu impacté en cas d'annulation de la correction pour volatilité . ,1
La date  frontière » du contrat se définit comme la première des dates à laquelle : ,1
"1,1 % ",1
"-0,1 % ",1
"1,0 % ",1
"-0,5 % ",1
Impact % ,1
" L'assureur a pour la première fois le droit unilatéral de mettre fin au contrat , ",1
" L'assureur a pour la première fois le droit unilatéral de refuser les primes , ",1
 L'assureur a pour la première fois le droit unilatéral de modifier les primes ou les garanties de manière à ce que les primes versées reflètent totalement le risque . ,1
203 % ,1
443 401 ,1
2 272 797 902 304 ,1
Les primes versées après la date « frontière  d'un contrat d'assurance / de réassurance et les engagements associés ne sont pas pris en compte dans le calcul de la meilleure estimation . ,1
Provisions S1 ,1
Elimination prov d'égalisation ,1
