text,count
100 % ,186
 ,167
Rapport sur la solvabilité et la situation financière Cova 2022 ,52
Rapport sur la solvabilité et la situation financière Covéa 2022 ,43
En millions d'euros ,25
ACPR ,16
Net ,15
Normes Solvabilité ,14
10 ,13
Part des réassureurs ,13
En milliers d'euros ,13
Normes françaises ,12
Administrateur ,12
50 % ,9
8 ,9
Primes acquises ,8
Administratrice ,8
16 ,7
2021 ,7
Brut ,7
2022 ,7
Brut  Assurance directe ,7
24 ,7
Total ,7
acceptée ,6
Normes françaises Hors PartnerRe ,6
Dont assurance non - vie ,6
18 706 627 ,6
Dont assurance vie ,6
21 ,6
Membre du Comité stratégique ,5
0 % ,5
47 ,5
44 ,5
Résultat net ( part du Groupe ) ,5
Normes ,5
33 ,5
22 ,5
Total des dépenses ,5
6 ,5
18 673 798 ,5
Primes émises ,5
Marge de risque ,5
32 829 ,5
Dépenses engagées ,4
11 ,4
Brut  Rassurance non proportionnelle acceptée ,4
28 143 ,4
19 ,4
Autres dépenses ,4
Membre du Comité d'audit ,4
18 ,4
915 252 ,4
Acceptations ,4
Actions ,4
Missions  ,4
Titulaire  ,4
46 ,4
Brut  Rassurance proportionnelle ,4
8 727 046 ,4
35 ,4
522 ,4
Résultat de l'exploitation économique ,3
43 ,3
512 ,3
33.3 % ,3
25 ,3
15 ,3
23 ,3
"Nette d'ajustement pour participation aux bénéfices , avant capacité d'absorption des pertes par les impôts différés et effet de diversification entre modules de risque . ",3
36 ,3
54 ,3
"MMA Vie SA , GMF Vie SA , MAAF Vie SA et MMA IARD SA , MAAF Assurance SA et GMF Assurances . ",3
Autres ,3
27 950 ,3
Tableau S.23.01.22  Fonds propres ,3
14 ,3
12 ,3
Taux d'intérêt ,3
Organismes de placement collectif ,3
Comité d'audit ,3
Biens immobiliers ( autres que détenus pour usage propre ) ,3
Excédent d'actif sur passif ,3
29 ,3
Dépôts autres que les équivalents de trésorerie ,3
Comité stratégique ,3
Passifs subordonnés ,3
Professionnels et entreprises ,3
Niveau 1  restreint ,3
Tableau S.02.01.02  Bilan ,3
-92 ,3
115 341 ,3
Risque opérationnel ,3
Risque lié aux immobilisations incorporelles ,3
188 ,3
20 ,3
34 ,3
38 ,3
41 ,3
48 ,3
79 ,3
80 ,3
35 % ,3
Risque de souscription en santé ,3
Risque de marché ,3
Membre du Comité des risques ,3
Capital de solvabilité requis du Groupe ,3
9 ,3
24 671 845 ,3
Charge des sinistres ,3
Risque de souscription en vie ,3
15 306 ,3
521 810 ,3
103 ,3
GB ,3
31 ,3
6 104 ,3
Cf. Figure 2 : Dispositif de contrôle . ,3
Capital de solvabilité requis ,3
Variation des autres provisions techniques ,3
Résultat de 'exploitation économique ( en M € ) ,3
39 ,3
Dépôts des réassureurs ,2
140 383 81 008 ,2
26 ,2
214 ,2
896 ,2
257 ,2
-117 ,2
602 ,2
280 ,2
"Bernard Barbottin , membre , ",2
Niveau 2 ,2
883 ,2
20 590 ,2
266 ,2
778 ,2
Santé ,2
92 ,2
13 720 ,2
59 995 ,2
"Habitation , Professionnels et entreprises ",2
Brut  Rassurance non proportionnelle ,2
40 ,2
-11 pts ,2
215 % ,2
13 ,2
10 810 ,2
"Jean Fleury , membre , ",2
11 130 ,2
6 358 ,2
1 118 845 ,2
-308 ,2
2 045 961 522 130 ,2
32 ,2
Pertes pécuniaires diverses ,2
838 ,2
Tableau S.25.01.22  Capital de solvabilité requis ,2
5 871 ,2
-2 ,2
162 759 ,2
vie ,2
49 ,2
509 278 ,2
339 321 ,2
Membre du Comité des rémunérations et des nominations Administrateur ,2
45 ,2
-107 ,2
2 515 869 ,2
50 ,2
40 744 ,2
2 556 613 ,2
Catastrophe ,2
Assurance ,2
Dont Cova Coopérations ,2
156 888 ,2
Risque de souscription en non - vie ,2
Capital de solvabilité requis des entités intégrées par déduction et agrégation ,2
Capacité d'absorption des pertes des provisions techniques ,2
186 182 ,2
Capacité d'absorption des pertes des impôts différés ,2
5 701 532 ,2
60 135 ,2
5 641 397 ,2
Dont autres sociétés ,2
Dont Cova Finance ,2
+ ,2
57 ,2
Brut  Rassurance proportionnelle acceptée ,2
Brut  Rassurance proportionnelle acceptée Brut  Rassurance non proportionnelle acceptée Part des réassureurs ,2
Risque de crédit ou de défaut de la contrepartie ,2
Pays d'origine ,2
-22 431 ,2
-44 189 ,2
Capital de solvabilité requis diversifié ,2
Dont PartnerRe ,2
"Dividendes , distributions et charges prévisibles ",2
272 971 ,2
Membre du Comité des rémunérations et des nominations ,2
27 401 ,2
-84 ,2
18 707 ,2
- Fonds propres totaux éligibles pour le calcul du minimum de capital requis sur base consolidée ,2
- Fonds propres totaux éligibles pour le calcul du capital de solvabilité requis du Groupe ,2
5 569 ,2
9 839 ,2
15 408 ,2
53 ,2
Fonds propres auxiliaires ,2
Fonds propres de base ,2
412 294 ,2
1 930 ,2
410 364 ,2
-283 ,2
Immobilier ,2
Automobile ,2
27 926 ,2
"Assurance maritime , aérienne et transport ",2
220 ,2
"Les impacts de l'utilisation de la correction pour volatilité sont communiqués dans la partie D.2.2.1 du rapport et dans le QRT S.22.01.22 , annexé au rapport . ",2
83 ,2
90 ,2
51 ,2
Total 5 principaux pays et pays d'origine ,2
A compter du 1er Janvier 2023  Comité de direction Groupe et Comité exécutif Assurance France . ,2
17 ,2
Assurance de protection du ,2
42 ,2
58 ,2
28 206 045 ,2
52 ,2
revenu ,2
Assurance de protection juridique ,2
Assistance ,2
Assurance des frais médicaux ,2
3 357 147 ,2
Niveau 3 ,2
Niveau 1  non restreint ,2
1 982 019 ,2
Immobilisations corporelles détenues pour usage propre ,2
Inclusion dans le contrôle de groupe ,2
Primes ( en Mds € ) ,2
"28,1 ",2
"12,5 ",2
Calcul de solvabilité du ,2
"Lionel Calvez , Directeur général Risques , ",2
groupe ,2
252 ,2
12 464 ,2
Fonds propres ,2
Provisions techniques ,2
74 ,2
D1 . Actifs ,2
81 ,2
78 ,2
73 ,2
Novembre 2022 ,2
E4 . Différences entre la formule standard et tout modèle interne utilisé ,2
E2 . Capital de solvabilité requis et minimum de capital requis ,2
SMI ,2
D4 . Méthodes de valorisation alternatives ,2
28 ,2
LA SAUVEGARDE ,2
37 ,2
Obligations ,2
Autres critères ,2
Critères d'influence ,2
1 059 ,2
CONSEIL D'ADMINISTRATION PRÉSIDENT DU CONSEIL D'ADMINISTRATION ,2
Le Conseil d'administration détermine les orientations stratégiques et veille à leur mise en uvre ,2
Comité des risques ,2
Comité des rémunérations et des nominations ,2
DIRECTEUR GÉNÉRAL ,2
DIRECTEURS GÉNÉRAUX DÉLÉGUÉS ,2
Le Directeur général et les Directeurs généraux délégués sont investis des pouvoirs les plus étendus pour agir en toute circonstance au nom de Covéa et représentent Cova dans ses rapports avec les tiers ,2
COMITÉ EXCUTIF ( 1 ) ,2
Le Comité exécutif assiste le Directeur général et les Directeurs généraux délégués dans la coordination opérationnelle des entités et des activités du Groupe ,2
Meilleure estimation ,2
Société anonyme Société anonyme ,2
-85 ,2
Société anonyme ,2
Fonction Audit interne ,2
Nom juridique de 'entreprise ,2
"Détentions dans des entreprises liées , y compris participations ",2
Pays ,2
Code d'identification et type de code de l'entreprise ,2
Provisions techniques calculées comme un tout Meilleure estimation ,2
% utilisé ,2
 787 ,2
253 ,2
30 ,2
Les flux sortants correspondent : ,2
Forme juridique ,2
APGIS ,2
Passifs d'impôts différés ,2
