,Unnamed: 0,num_page,text,width,height,area,chars,char_size,pos_x,pos_y,aspect,layout,x0,x1,y0,y1,assureur
5,5,1,2022 ,0.12605042,0.0273483999999999,0.0034472773063279,5,0.0006894554612655,0.12184874,0.64982164,4.609060127831985,h,0.05882353,0.18487395,0.63614744,0.63614744,axa-output-1-to-71
21,21,2,17 ,0.0168066999999999,0.0071343799999999,0.0001199053843459,3,3.996846144866653e-05,0.87058825,0.25802615,2.355733784855861,h,0.8621849,0.8789916,0.25445896,0.25445896,axa-output-1-to-71
22,22,2,17 ,0.0184873999999999,0.00713436,0.0001318957670639,3,4.396525568799988e-05,0.8697479,0.27824018,2.591318632645383,h,0.8605042,0.8789916,0.274673,0.274673,axa-output-1-to-71
23,23,2,17 ,0.0184873999999999,0.00832343,0.0001538785797819,3,5.129285992733327e-05,0.8697479,0.299048755,2.221127588025596,h,0.8605042,0.8789916,0.29488704,0.29488704,axa-output-1-to-71
24,24,2,18 ,0.0184873999999999,0.0083233999999999,0.0001538780251599,3,5.129267505333302e-05,0.8697479,0.32045184,2.221135593627601,h,0.8605042,0.8789916,0.31629014,0.31629014,axa-output-1-to-71
25,25,2,19 ,0.01512603,0.0071343999999999,0.0001079151484319,3,3.5971716143999955e-05,0.869747915,0.3412604,2.1201544628840607,h,0.8621849,0.87731093,0.3376932,0.3376932,axa-output-1-to-71
26,26,2,19 ,0.0184873999999999,0.0095124799999999,0.0001758610227519,3,5.862034091733305e-05,0.8697479,0.3626635099999999,1.943488974484041,h,0.8605042,0.8789916,0.35790727,0.35790727,axa-output-1-to-71
27,27,2,19 ,0.0184873999999999,0.0095124699999999,0.0001758608378779,3,5.862027929266642e-05,0.8697479,0.382877535,1.9434910175800757,h,0.8605042,0.8789916,0.3781213,0.37931034,axa-output-1-to-71
28,28,2,20 ,0.0168067299999999,0.00713436,0.0001199052622428,3,3.996842074760002e-05,0.868907565,0.40428062,2.355744593768744,h,0.8605042,0.87731093,0.40071344,0.40071344,axa-output-1-to-71
29,29,2,21 ,0.0184873899999999,0.00713438,0.0001318960654682,3,4.396535515606697e-05,0.868067235,0.42449465,2.5913099666684225,h,0.85882354,0.87731093,0.42092746,0.42092746,axa-output-1-to-71
30,30,2,21 ,0.0168067299999999,0.0083234199999999,0.0001398894726165,3,4.662982420553314e-05,0.868907565,0.44530321,2.019209651801789,h,0.8605042,0.87731093,0.4411415,0.4411415,axa-output-1-to-71
31,31,2,22 ,0.0184873999999999,0.00713437,0.0001318959519379,3,4.396531731266651e-05,0.8697479,0.4661117849999999,2.591315000483565,h,0.8605042,0.8789916,0.4625446,0.4625446,axa-output-1-to-71
32,32,2,23 ,0.0201680599999999,0.00713434,0.0001438857971803,3,4.796193239346662e-05,0.86890757,0.48751487,2.8268991945996245,h,0.85882354,0.8789916,0.4839477,0.4839477,axa-output-1-to-71
33,33,2,24 ,0.0184873899999999,0.0071343799999999,0.0001318960654681,3,4.396535515606662e-05,0.868067235,0.50891796,2.5913099666684425,h,0.85882354,0.87731093,0.50535077,0.50535077,axa-output-1-to-71
34,34,2,25 ,0.01512603,0.0071343699999999,0.000107914694651,3,3.597156488369976e-05,0.869747915,0.529131985,2.1201633781259077,h,0.8621849,0.87731093,0.5255648,0.5255648,axa-output-1-to-71
35,35,2,26 ,0.0168067299999999,0.0083234399999999,0.0001398898087511,3,4.662993625039976e-05,0.868907565,0.54994052,2.019204799938496,h,0.8605042,0.87731093,0.5457788,0.5457788,axa-output-1-to-71
37,37,2,26 ,0.0184873999999999,0.0083234599999999,0.0001538791344039,3,5.129304480133284e-05,0.8697479,0.57134367,2.221119582481329,h,0.8605042,0.8789916,0.56718194,0.56718194,axa-output-1-to-71
38,38,2,27 ,0.0218487299999999,0.0071343999999999,0.0001558775793119,3,5.1959193103999854e-05,0.868067235,0.5921522,3.062448138596101,h,0.85714287,0.8789916,0.588585,0.588585,axa-output-1-to-71
41,41,2,28 ,0.0184873999999999,0.0083234399999999,0.0001538787646559,3,5.129292155199956e-05,0.8697479,0.63317478,2.221124919504438,h,0.8605042,0.8789916,0.62901306,0.62901306,axa-output-1-to-71
44,44,2,30 ,0.0184873999999999,0.00832337,0.000153877470538,3,5.1292490179333467e-05,0.8697479,0.654577885,2.2211435992872857,h,0.8605042,0.8789916,0.6504162,0.6504162,axa-output-1-to-71
46,46,2,31 ,0.0184873899999999,0.00832343,0.0001538784965477,3,5.129283218256677e-05,0.868067235,0.675980985,2.2211263865978266,h,0.85882354,0.87731093,0.67181927,0.67181927,axa-output-1-to-71
48,48,2,.31 ,0.0184873899999999,0.00713436,0.0001318956957204,4,3.2973923930100014e-05,0.868067235,0.69678952,2.591317230977968,h,0.85882354,0.87731093,0.69322234,0.69322234,axa-output-1-to-71
50,50,2,.31 ,0.0184873899999999,0.0071343699999999,0.0001318958805942,4,3.297397014857473e-05,0.868067235,0.717003555,2.5913135988181346,h,0.85882354,0.87731093,0.71343637,0.71343637,axa-output-1-to-71
52,52,2,32 ,0.01512603,0.00713431,0.0001079137870893,3,3.5971262363100475e-05,0.869747915,0.737217605,2.120181208834467,h,0.8621849,0.87731093,0.73365045,0.73365045,axa-output-1-to-71
54,54,2,.33 ,0.0201680599999999,0.0071343999999999,0.0001438870072639,4,3.597175181599981e-05,0.86890757,0.7586207,2.8268754204978657,h,0.85882354,0.8789916,0.7550535,0.7550535,axa-output-1-to-71
56,56,2,34 ,0.0184873999999999,0.0071343999999999,0.0001318965065599,3,4.3965502186666414e-05,0.8697479,0.7800238,2.5913041040592018,h,0.8605042,0.8789916,0.7764566,0.7764566,axa-output-1-to-71
57,57,2,35 ,0.0184873999999999,0.00832345,0.0001538789495299,3,5.129298317666653e-05,0.8697479,0.800832325,2.221122250989663,h,0.8605042,0.8789916,0.7966706,0.7966706,axa-output-1-to-71
58,58,2,35 ,0.0184873999999999,0.0083234299999999,0.0001538785797819,3,5.1292859927332585e-05,0.8697479,0.821046355,2.2211275880256256,h,0.8605042,0.8789916,0.81688464,0.81688464,axa-output-1-to-71
75,75,2,2 ,0.0117647199999999,0.00832345,9.792305868399972e-05,2,4.8961529341999854e-05,0.49831934,0.939952425,1.413442743093301,h,0.49243698,0.5042017,0.9357907,0.9357907,axa-output-1-to-71
76,76,2,7 ,0.0100839999999999,0.007134365,7.194293665999991e-05,2,3.5971468329999955e-05,0.8739496,0.0903686075,1.413440439338326,h,0.8689076,0.8789916,0.086801425,0.086801425,axa-output-1-to-71
77,77,2,.11 ,0.0184873899999999,0.007134364,0.0001318957696699,4,3.2973942417490005e-05,0.868067235,0.111771702,2.5913157781128047,h,0.85882354,0.87731093,0.10820452,0.10820452,axa-output-1-to-71
78,78,2,.12 ,0.0201680599999999,0.00713438,0.0001438866039028,4,3.59716509757e-05,0.86890757,0.13317479,2.82688334515401,h,0.85882354,0.8789916,0.1296076,0.1296076,axa-output-1-to-71
79,79,2,12 ,0.0184873999999999,0.00832341,0.0001538782100339,3,5.129273667799984e-05,0.8697479,0.152794295,2.2211329250871845,h,0.8605042,0.8789916,0.14863259,0.14863259,axa-output-1-to-71
80,80,2,13 ,0.0184873999999999,0.00832341,0.0001538782100339,3,5.129273667799984e-05,0.8697479,0.1741973849999999,2.2211329250871845,h,0.8605042,0.8789916,0.17003568,0.17003568,axa-output-1-to-71
81,81,2,13 ,0.0168067299999999,0.0083234299999999,0.0001398896406838,3,4.66298802279666e-05,0.868907565,0.1944114149999999,2.0192072258672216,h,0.8605042,0.87731093,0.1902497,0.1902497,axa-output-1-to-71
