,Unnamed: 0,num_page,text,width,height,area,chars,char_size,pos_x,pos_y,aspect,layout,x0,x1,y0,y1,assureur
41,41,2,3 ,0.0117646999999999,0.0107015499999999,0.0001259005252849,2,6.295026264249965e-05,0.87310925,0.169441145,1.0993454219248602,h,0.8672269,0.8789916,0.16409037,0.16409037,covea-output-1-to-98
42,42,2,8 ,0.0201680999999999,0.0095125,0.0001918490512499,2,9.592452562499965e-05,0.87058825,0.20214031,2.120168199737177,h,0.8605042,0.8806723,0.19738406,0.19738406,covea-output-1-to-98
43,43,2,8 ,0.0100839999999999,0.00832341,8.393326643999989e-05,2,4.1966633219999945e-05,0.8739496,0.2324613549999999,1.2115226812087807,h,0.8689076,0.8789916,0.22829965,0.22829965,covea-output-1-to-98
45,45,2,16 ,0.0184873999999999,0.00832344,0.0001538787646559,3,5.12929215519999e-05,0.8697479,0.24554102,2.221124919504424,h,0.8605042,0.8789916,0.2413793,0.2413793,covea-output-1-to-98
46,46,2,20 ,0.0184873999999999,0.00713435,0.0001318955821899,3,4.396519406333325e-05,0.8697479,0.259215225,2.591322264817384,h,0.8605042,0.8789916,0.25564805,0.25564805,covea-output-1-to-98
47,47,2,21 ,0.0168067299999999,0.0083233999999999,0.0001398891364819,3,4.6629712160666535e-05,0.868907565,0.27288942,2.0192145036884,h,0.8605042,0.87731093,0.26872772,0.26872772,covea-output-1-to-98
48,48,2,21 ,0.0168067299999999,0.0083233999999999,0.0001398891364819,3,4.6629712160666535e-05,0.868907565,0.28715815,2.0192145036884,h,0.8605042,0.87731093,0.28299645,0.28299645,covea-output-1-to-98
49,49,2,22 ,0.0218487299999999,0.00951248,0.0002078356071504,3,6.927853571680028e-05,0.868067235,0.30915576,2.2968489815484374,h,0.85714287,0.8789916,0.30439952,0.30439952,covea-output-1-to-98
50,50,2,22 ,0.0184873999999999,0.00832344,0.0001538787646559,3,5.12929215519999e-05,0.8697479,0.33947682,2.221124919504424,h,0.8605042,0.8789916,0.3353151,0.3353151,covea-output-1-to-98
51,51,2,34 ,0.0184873999999999,0.00832344,0.0001538787646559,3,5.12929215519999e-05,0.8697479,0.3537455499999999,2.221124919504424,h,0.8605042,0.8789916,0.34958383,0.34958383,covea-output-1-to-98
